"","DISTANCE_FROM_SINGAPORE_NUM","TOTAL_EXP_MONTHS_NUM","PREDICTED_AGE_NUM","AGE_CONFIDENCE_NUM","PROFS_NUM","LI_NUM","LI_CONNECTIONS_NUM"
"3",10269.54934,362,54,1,1,11,254
"4",9399.29775,233,43,1,1,11,203
"5",10495.96118,187,40,1,1,11,500
"7",8074.94022,106,33,1,1,12,2
"8",4115.5781,109,33,1,1,11,500
"10",6292.33719,128,35,1,1,12,359
"11",10852.38033,24,26,1,1,10,21
"12",9667.00028,97,32,1,1,10,35
"16",10048.43498,329,51,1,2,12,500
"18",9796.0111,331,52,1,1,12,500
"19",10048.43498,236,44,1,1,12,216
"20",0,122,34,1,1,11,111
"21",10736.65797,176,39,1,1,13,412
"22",293.41963,142,36,1,1,13,149
"24",10736.65797,249,45,1,1,13,205
"25",11050.20174,144,36,1,1,11,449
"26",10048.43498,243,44,1,2,13,220
"27",10446.83105,532,68,1,1,13,500
"28",15169.43466,66,30,1,1,13,500
"29",10736.65797,304,49,1,1,11,500
"30",10493.33129,24,26,1,1,12,90
"31",8665.64146,324,51,1,1,12,346
"34",10269.54934,448,61,1,1,13,500
"35",10162.15551,236,44,1,1,10,500
"36",0,130,35,1,1,11,3
"37",15871.94878,48,28,1,1,13,305
"40",0,275,47,1,1,13,500
"41",6792.67446,338,52,1,1,13,500
"42",10902.21977,182,39,1,1,11,500
"43",10495.96118,208,41,1,1,12,500
"44",6710.90402,133,35,1,1,12,145
"45",10015.63287,83,31,1,1,10,99
"46",6053.95106,83,31,1,1,11,170
"47",17313.7941,114,34,1,1,10,291
"50",2580.92694,187,40,1,1,12,37
"51",10559.5799,298,49,1,1,11,334
"53",10736.65797,121,34,1,1,12,210
"54",2580.92694,252,45,1,1,11,109
"56",19319.18102,109,33,1,1,11,413
"57",15735.53224,108,33,1,1,12,72
"58",9040.32194,188,40,1,1,11,312
"59",10495.96118,129,35,1,1,8,500
"60",9917.87034,355,54,1,1,9,73
"61",10947.94335,150,36,1,1,13,500
"62",10531.05191,402,58,1,1,10,500
"63",4555.16766,128,35,1,1,12,94
"64",10495.96118,468,63,1,1,11,500
"65",2912.88116,108,33,1,1,10,2
"66",0,285,48,1,1,13,500
"68",5241.13289,190,40,1,1,13,234
"69",10736.65797,135,35,1,1,12,205
"71",8665.64146,98,32,1,1,12,500
"72",0,48,28,1,1,13,153
"73",9250.14018,425,59,1,1,11,415
"74",1424.08635,200,41,1,1,13,500
"75",9962.70089,56,29,1,1,9,338
"76",10541.43064,24,26,1,1,10,139
"77",6053.95106,205,41,1,1,13,134
"78",10559.5799,377,55,1,1,13,500
"79",10964.82376,277,47,1,1,13,468
"80",11388.95107,24,26,1,1,9,33
"81",10736.65797,364,54,1,1,12,402
"82",10015.02831,267,46,1,1,13,500
"83",10127.68283,24,26,1,1,12,180
"84",10736.65797,465,63,1,1,13,500
"86",5914.09601,167,38,1,1,11,277
"87",10736.65797,300,49,1,1,10,235
"88",10373.7436,204,41,1,1,11,272
"90",5914.09601,329,51,1,1,12,352
"91",3240.7967,314,50,1,1,13,317
"92",0,174,38,1,1,12,346
"93",2580.92694,273,47,1,1,13,448
"94",3798.50068,28,26,1,1,13,276
"95",4656.71712,137,35,1,1,12,98
"96",10736.65797,139,36,1,1,13,264
"97",10181.22069,48,28,1,1,10,46
"98",10243.63222,73,30,1,1,13,233
"100",9604.50309,99,32,1,1,10,82
"101",8665.64146,185,39,1,1,11,369
"102",15987.0481,48,28,1,1,12,134
"103",3906.22577,29,26,1,1,11,265
"104",10494.64995,403,58,1,1,13,141
"105",11050.20174,230,43,1,1,12,500
"106",5914.09601,141,36,1,1,12,500
"109",9476.73589,387,56,1,1,13,500
"110",10852.61809,193,40,1,1,12,276
"111",5914.09601,25,26,1,1,10,8
"112",10360.19261,42,28,1,1,11,125
"113",15844.13582,60,29,1,1,12,274
"114",9990.47083,148,36,1,1,13,500
"115",10890.08958,27,26,1,1,11,347
"116",19128.29396,330,52,1,1,7,110
"117",10385.09684,152,37,1,1,13,467
"121",10736.65797,12,25,1,1,10,99
"122",10559.5799,134,35,1,1,10,55
"123",10127.68283,238,44,1,1,11,77
"125",11327.52262,232,43,1,2,13,500
"126",10269.54934,90,32,1,1,12,279
"127",10162.15551,199,41,1,1,10,391
"128",5297.20671,161,37,1,1,12,34
"129",319.03443,100,32,1,1,11,1
"131",10599.86974,24,26,1,1,10,500
"132",10736.65797,288,48,1,1,11,293
"133",11050.20174,298,49,1,1,11,500
"135",11327.52262,156,37,1,1,11,450
"136",9225.80179,118,34,1,1,12,211
"137",5914.09601,303,49,1,1,12,500
"138",10495.96118,387,56,1,1,12,500
"141",13107.89726,92,32,1,1,12,500
"143",10792.98572,288,48,1,1,13,499
"144",2580.92694,84,31,1,1,11,195
"145",5914.09601,153,37,1,1,13,500
"149",13633.73289,192,40,1,1,12,500
"150",10371.60272,87,31,1,1,13,187
"151",5428.65974,277,47,1,1,9,241
"152",10736.65797,330,52,1,1,10,500
"153",9250.14018,198,40,1,1,13,243
"154",10792.98572,351,53,1,1,10,95
"155",9922.40552,374,55,1,1,13,500
"156",15010.65338,291,48,1,1,13,500
"157",893.36921,147,36,1,1,12,234
"159",6053.95106,246,44,1,1,13,500
"160",8665.64146,283,48,1,1,13,422
"162",8529.42607,124,34,1,1,12,159
"164",11769.36263,69,30,1,2,9,500
"165",11888.03986,115,34,1,1,10,32
"167",10051.66162,231,43,1,1,13,415
"168",10852.38033,79,31,1,1,10,10
"169",10343.83475,88,31,1,1,13,217
"172",10736.65797,243,44,1,1,11,500
"173",16.09036,74,30,1,1,13,500
"175",15706.49286,17,25,1,1,11,116
"178",2580.92694,108,33,1,1,12,487
"179",10792.98572,119,34,1,1,11,500
"180",11388.95107,92,32,1,1,9,22
"181",3792.12725,236,44,1,1,13,500
"184",10736.65797,71,30,1,1,11,500
"185",10736.65797,92,32,1,1,12,500
"186",7938.29756,253,45,1,3,13,500
"188",10495.96118,450,62,1,1,11,500
"189",0,835,94,1,2,13,500
"190",9677.5987,361,54,1,1,11,344
"191",10446.83105,191,40,1,1,12,500
"192",10493.33129,632,77,1,2,11,436
"193",10852.38033,39,27,1,1,12,500
"194",15135.77163,84,31,1,2,12,500
"195",10629.00123,25,26,1,1,11,144
"196",10064.76669,553,70,1,1,12,500
"197",5914.09601,131,35,2,2,11,193
"199",10852.38033,113,33,1,1,13,414
"201",15021.41466,91,32,1,2,11,36
"202",8665.64146,316,50,1,1,13,486
"203",10834.11329,373,55,1,2,12,500
"204",5914.09601,282,48,1,3,12,500
"205",6053.95106,204,41,1,1,13,394
"207",16973.69239,146,36,1,1,13,500
"208",10852.38033,84,31,1,1,10,500
"209",6053.95106,12,25,1,1,9,152
"210",10736.65797,276,47,1,1,12,500
"211",6211.66104,224,43,1,1,11,40
"212",15010.65338,194,40,1,1,13,116
"213",10736.65797,402,58,1,2,13,500
"214",10352.76637,50,28,1,1,11,99
"215",10547.50789,197,40,1,1,12,290
"216",10852.38033,151,38,2,2,11,500
"217",4458.61893,218,42,1,1,13,335
"218",10852.38033,115,34,1,2,13,500
"219",11769.36263,92,32,1,2,12,305
"220",2580.92694,180,39,1,1,13,500
"221",5241.13289,170,38,1,1,13,500
"222",6292.33719,384,56,1,2,12,500
"224",14603.15447,165,38,1,2,13,500
"225",3793.6931,131,35,1,1,11,423
"226",2580.92694,36,27,1,1,9,75
"227",4136.49486,135,35,1,2,13,184
"228",7938.29756,137,35,1,2,12,500
"229",15887.49605,145,36,1,1,10,334
"230",10495.96118,212,42,1,3,11,500
"231",0,19,26,1,1,8,24
"232",3300.14889,246,44,1,1,11,377
"233",5914.09601,421,39,3,3,13,500
"234",0,55,29,1,1,12,77
"236",15182.92838,85,31,1,1,13,96
"237",15309.84043,24,26,1,1,9,295
"238",2580.92694,86,31,1,1,12,52
"239",12829.70295,233,43,1,2,12,500
"240",11327.52262,291,48,1,1,12,408
"241",10792.98572,84,31,1,1,12,500
"242",10792.98572,228,43,1,2,13,500
"306",14807.38586,201,41,1,2,10,500
"307",10493.33129,19,26,1,2,11,191
"308",10127.68283,192,40,1,2,11,500
"309",6178.50955,229,43,1,2,13,419
"310",10293.12786,74,30,1,2,8,5
"311",308.75617,265,46,1,2,12,220
"312",9636.0939,72,30,1,2,8,218
"314",10886.28169,461,62,1,1,13,299
"316",14521.16215,511,67,1,2,12,500
"317",10493.33129,151,37,1,1,11,471
"318",5648.51437,172,38,1,2,11,500
"319",10532.2081,456,62,1,2,12,500
"320",12289.10213,79,31,1,2,12,500
"322",10243.63222,19,26,1,1,10,32
"323",10852.38033,314,50,1,2,12,500
"324",10736.65797,400,57,1,2,12,500
"325",16174.23285,144,36,1,2,11,86
"326",10484.37027,438,60,1,1,12,500
"327",10560.08708,234,44,1,2,13,500
"328",7798.65124,90,32,1,1,10,113
"329",11136.99562,25,26,1,2,9,500
"330",10792.98572,180,39,1,1,8,55
"331",10887.36805,109,33,1,1,11,452
"332",5914.09601,100,32,1,1,13,147
"333",10736.65797,44,28,1,1,7,194
"334",10736.65797,446,61,1,2,10,500
"336",10446.83105,266,46,1,1,13,500
"340",13598.69045,330,52,1,2,13,500
"341",5914.09601,373,55,1,1,13,185
"342",10824.63169,72,30,1,1,11,396
"343",0,194,40,1,2,12,500
"344",3168.89144,294,48,1,1,12,50
"345",9633.66445,190,40,1,1,8,500
"346",10371.60272,161,37,1,1,12,267
"347",10493.33129,201,41,1,1,11,393
"348",10852.38033,28,26,1,2,10,500
"349",10869.23035,123,34,1,1,11,415
"352",10599.86974,279,47,1,2,10,500
"353",11802.87607,132,50,2,2,11,59
"354",7338.31814,164,38,1,1,12,297
"355",11391.55882,184,39,1,2,10,500
"356",9572.61031,258,46,1,2,11,500
"357",1635.46602,132,35,1,2,10,185
"358",13598.69045,269,46,1,2,12,500
"359",10732.61721,332,52,1,1,7,115
"360",308.75617,159,37,1,1,13,500
"361",10852.38033,220,42,1,2,12,500
"363",6292.33719,324,51,1,3,12,500
"365",10470.95185,12,25,1,1,5,186
"366",10486.37389,506,66,1,2,12,500
"367",10269.54934,473,63,1,1,11,366
"368",9608.62667,336,52,1,3,11,500
"369",15870.79505,132,35,1,1,10,120
"371",0,83,31,1,3,13,500
"372",2580.92694,89,31,1,1,12,500
"373",1026.86144,43,28,1,1,9,253
"374",6292.33719,325,51,1,1,12,500
"375",10852.38033,239,44,1,1,10,11
